Age,Weight,Activity Level,Daily Routines,Water Intake (ml),User_ID,Wake_Time,Bedtime,Meal_1,Meal_2,Meal_3,Activity_Level,Weather_Condition
56,78.0,sedentary,Computer act time face.,2574.0,a4fee721-f0fa-46e6-a70f-e5bd691b7ff2,06:54:49,22:54:49,Breakfast,Lunch,Dinner,Sedentary,Moderate
69,70.69,active,True federal same top.,2898.29,0d109e90-f3d9-44f5-baf1-f17ec3e49164,06:59:09,22:59:09,Breakfast,Lunch,Dinner,Active,Hot
46,77.69,sedentary,South expect bad song surface evening guy product.,2408.39,e6731627-c061-4940-8833-c00441ada5b4,07:14:01,23:14:01,Breakfast,Lunch,Dinner,Moderate,Cold
32,62.2,active,Soon participant be develop international through fight.,2550.2000000000003,601df8ca-57ce-4351-9e57-353bf2f37ec3,07:51:23,23:51:23,Breakfast,Lunch,Dinner,Active,Hot
60,87.81,moderate,Production true center another compare option finally.,3424.59,f08e329e-4d63-49b1-bbdb-2a41cc08e9fc,06:16:52,22:16:52,Breakfast,Lunch,Dinner,Active,Moderate
25,72.52,moderate,Couple other too car.,2755.76,efff41c4-33df-4902-bb77-f021e7720771,08:36:44,00:36:44,Breakfast,Lunch,Dinner,Active,Hot
38,74.0,active,Ground southern yeah several doctor culture born.,3034.0,0068b1ac-5a8b-4aa6-85ae-62971a4638df,07:34:28,23:34:28,Breakfast,Lunch,Dinner,Sedentary,Moderate
56,62.15,sedentary,Pattern just property piece.,1988.8,f694ca6e-6620-43de-909a-bbfa63a9c51a,06:29:10,22:29:10,Breakfast,Lunch,Dinner,Active,Hot
36,74.72,moderate,Court executive hour throughout record program health.,2764.64,8c05e088-1bf5-42b2-8a29-56d356156ecf,08:51:05,00:51:05,Breakfast,Lunch,Dinner,Moderate,Cold
40,76.51,sedentary,Write fear doctor report face white not.,2601.34,bfd31c7e-b64b-423e-9514-0e382a53253b,06:12:19,22:12:19,Breakfast,Lunch,Dinner,Sedentary,Moderate
28,58.3,moderate,Notice cost chair purpose.,2273.7,5a87316b-84b9-4306-be7d-ba6dc1bcc1ec,08:37:11,00:37:11,Breakfast,Lunch,Dinner,Sedentary,Hot
28,53.41,active,Serious describe cold partner wait sing.,2136.4,0f38f5d4-ca2b-43f4-a882-ce279d70db28,06:11:59,22:11:59,Breakfast,Lunch,Dinner,Moderate,Moderate
41,72.94,active,Pressure key suffer present level.,2917.6,5eaa61ba-f8a0-466d-98a4-9bad4cf1b851,06:00:08,22:00:08,Breakfast,Lunch,Dinner,Active,Moderate
70,65.11,active,Have full it bank.,2604.4,f11164e1-129f-4342-8bd0-68f388835af9,08:29:37,00:29:37,Breakfast,Lunch,Dinner,Active,Cold
53,72.6,moderate,Share city us service glass.,2831.4,bd27743f-3903-4751-b8a6-a6a631731e1a,07:00:27,23:00:27,Breakfast,Lunch,Dinner,Moderate,Moderate
57,57.09,sedentary,Camera develop course.,1941.06,51c79d9a-20d6-4537-8cb2-5faffc163198,08:39:47,00:39:47,Breakfast,Lunch,Dinner,Moderate,Cold
41,54.39,sedentary,Population too throw where image positive although.,1849.26,aee9507b-9536-4853-888f-9c7413ecffac,08:10:54,00:10:54,Breakfast,Lunch,Dinner,Moderate,Cold
20,72.07,sedentary,Beautiful election security fall couple.,2306.24,81c531ff-b152-45cf-bb04-b500076503a9,06:43:52,22:43:52,Breakfast,Lunch,Dinner,Active,Hot
39,66.5,moderate,Light example human activity every.,2593.5,ec69e0e3-e3c6-48cb-8e26-bbb272451dc6,08:23:52,00:23:52,Breakfast,Lunch,Dinner,Active,Moderate
70,48.89,moderate,Begin wrong your seven star stage value.,1808.93,18ab089a-6591-4ea5-a010-636bfea63213,08:54:54,00:54:54,Breakfast,Lunch,Dinner,Sedentary,Hot
19,83.43,moderate,Middle activity assume word myself hour be.,2920.05,837b5c42-5bca-4dfc-a685-b54b8640e122,07:04:40,23:04:40,Breakfast,Lunch,Dinner,Active,Hot
41,56.92,moderate,Represent indicate thought personal final.,1992.2,169f5f88-53a4-436c-a058-b9382a8d1d06,07:56:11,23:56:11,Breakfast,Lunch,Dinner,Sedentary,Moderate
61,95.73,moderate,Whom research show beat through.,3350.55,f42842a3-1796-44e4-843c-056dd6e2b2e3,08:25:38,00:25:38,Breakfast,Lunch,Dinner,Active,Moderate
47,63.76,sedentary,World bad exactly affect government allow.,1976.56,bedeb8f9-338f-4c16-933b-75ab41e41c1d,06:35:55,22:35:55,Breakfast,Lunch,Dinner,Moderate,Moderate
55,74.02,moderate,Democratic according TV memory almost.,2664.72,4432964d-15ef-4572-8e36-a5bf9c6c07ed,08:01:42,00:01:42,Breakfast,Lunch,Dinner,Active,Hot
19,86.47,moderate,Final experience wait thing where put.,3285.86,0e4a2d97-291c-4c48-a258-458b9e5271ce,07:21:47,23:21:47,Breakfast,Lunch,Dinner,Active,Hot
38,84.79,sedentary,Provide far method present rule down how.,2798.07,0d7736bb-73a0-45c3-9d77-ed8b3213a9df,08:57:43,00:57:43,Breakfast,Lunch,Dinner,Active,Cold
50,89.86,moderate,Since game on early particularly.,3414.68,f6d6dfff-a216-4342-b6cb-901eeb75baa4,06:42:10,22:42:10,Breakfast,Lunch,Dinner,Sedentary,Moderate
29,54.77,sedentary,Range interest strategy crime way.,1697.87,784d61dc-8a3e-4a34-b96d-39d46888a64b,08:55:56,00:55:56,Breakfast,Lunch,Dinner,Sedentary,Hot
39,58.64,sedentary,Establish his evening.,1817.84,ef53787a-1597-4b0a-a583-01cc3b3338f6,06:58:01,22:58:01,Breakfast,Lunch,Dinner,Active,Hot
61,72.26,active,Language decision network ball grow imagine stage.,3107.1800000000003,a9f3aac9-73f5-4024-bef1-fd50c7052270,08:37:42,00:37:42,Breakfast,Lunch,Dinner,Moderate,Cold
42,78.4,active,Artist bill apply office only place spend dinner.,3371.2000000000003,d59b29b4-e803-4d2d-b12b-8a159216957e,07:37:40,23:37:40,Breakfast,Lunch,Dinner,Moderate,Moderate
66,69.89,active,High rest break career Republican message.,3075.16,ee56be24-20b2-4ebe-8fbc-ef54df6b7a5f,07:23:45,23:23:45,Breakfast,Lunch,Dinner,Moderate,Cold
44,53.62,active,Drug pressure article sense garden.,2305.66,d374d5d2-bec9-46aa-ba64-491f1933dc4b,06:05:04,22:05:04,Breakfast,Lunch,Dinner,Active,Moderate
59,74.97,moderate,Dinner decade reach understand relate fall party.,2923.83,b65a8086-5c4f-4f4b-850b-fa7e5e6c4ce9,08:44:15,00:44:15,Breakfast,Lunch,Dinner,Moderate,Hot
45,68.06,active,Address thought forget prevent light toward.,2858.52,ae3bbaff-70af-483a-baf0-d3ff7d4ed1bd,06:55:02,22:55:02,Breakfast,Lunch,Dinner,Sedentary,Hot
33,67.94,sedentary,Step gas hand low.,2106.14,519c475d-36b4-42a5-8d38-5b6876621d6b,06:32:11,22:32:11,Breakfast,Lunch,Dinner,Moderate,Hot
32,47.22,moderate,Summer else deal size condition more.,1794.36,01637da6-a0ed-4144-950e-0d762e9d5c0e,08:03:46,00:03:46,Breakfast,Lunch,Dinner,Moderate,Cold
64,77.97,active,Then line once camera pick body.,3196.77,ae5f42ab-5fc1-4230-a23d-30dfa42b7c04,06:07:34,22:07:34,Breakfast,Lunch,Dinner,Active,Hot
68,71.45,sedentary,Know relationship cup fight serve money.,2214.9500000000003,0f2e4c34-aae8-4d28-a048-8ac32530bb3e,07:22:09,23:22:09,Breakfast,Lunch,Dinner,Active,Cold
61,87.95,moderate,Stock after wish guess section on.,3166.2000000000003,aa28cdc4-e9b0-4445-a996-0c6a62ab8aeb,07:16:07,23:16:07,Breakfast,Lunch,Dinner,Active,Cold
69,69.25,moderate,Quite rich morning high stock.,2562.25,e4df1bf3-2544-432b-8f9e-544396fae444,06:25:56,22:25:56,Breakfast,Lunch,Dinner,Sedentary,Moderate
20,75.66,active,Our number until figure base always.,3026.4,f58cac26-cb4f-4f6b-bfd8-4b4a7f78cecd,06:21:55,22:21:55,Breakfast,Lunch,Dinner,Active,Cold
54,78.32,moderate,Effect product senior five.,2976.16,9e312358-66c4-4440-87da-419e11db0ef5,08:45:14,00:45:14,Breakfast,Lunch,Dinner,Active,Hot
68,52.54,sedentary,Sound employee eye.,1576.2,adf090c4-c503-4bc2-8480-d7c83668892b,06:52:30,22:52:30,Breakfast,Lunch,Dinner,Sedentary,Moderate
24,96.17,moderate,Ready it good item economy including memory.,3365.9500000000003,f8f4fc6e-bacc-4854-a989-7351d01b8603,06:49:02,22:49:02,Breakfast,Lunch,Dinner,Sedentary,Cold
38,65.69,sedentary,Change politics them agree.,1970.7,f73d5ddd-86f5-45bb-9d2d-b37fac729648,08:35:31,00:35:31,Breakfast,Lunch,Dinner,Sedentary,Moderate
26,74.95,moderate,First rest himself off show.,2698.2000000000003,0d593435-903f-4dca-85de-9ccd956d74fc,06:42:50,22:42:50,Breakfast,Lunch,Dinner,Sedentary,Hot
56,76.41,active,Politics rule discover evidence read amount PM.,3362.04,976d4537-555b-42f5-9269-040caf7b763d,08:35:39,00:35:39,Breakfast,Lunch,Dinner,Sedentary,Moderate
35,61.85,sedentary,Character evidence security.,1917.35,d64cb198-6254-4a04-a8f7-130b60e6ae4a,08:03:12,00:03:12,Breakfast,Lunch,Dinner,Moderate,Hot
21,88.47,moderate,Subject detail trouble.,3184.92,038aeb60-934c-4985-9cef-b9053ac2f866,06:48:06,22:48:06,Breakfast,Lunch,Dinner,Sedentary,Moderate
42,72.66,moderate,Particularly professor risk purpose professor official site throughout.,2543.1,af1338bb-87e7-48bf-9fa8-cabe5dcc98ba,06:53:25,22:53:25,Breakfast,Lunch,Dinner,Sedentary,Hot
31,67.87,moderate,Nearly sing film according single kid hospital each.,2443.32,3d48ed04-aac0-4814-8913-3e0a67bf9e15,08:25:51,00:25:51,Breakfast,Lunch,Dinner,Sedentary,Cold
67,71.39,sedentary,Less change animal pay process national often.,2141.7,3b6809cf-eccd-442f-9186-27071c507278,08:43:09,00:43:09,Breakfast,Lunch,Dinner,Active,Hot
26,77.64,sedentary,Effort forget major strong.,2639.76,832e5d4e-7e18-4b84-9ac6-5e04421bf90d,08:53:51,00:53:51,Breakfast,Lunch,Dinner,Sedentary,Hot
43,70.11,sedentary,Dinner situation three smile reach let sense.,2313.63,47c66703-d806-4e5b-ac5e-dade7d07a1d3,07:16:50,23:16:50,Breakfast,Lunch,Dinner,Moderate,Moderate
70,78.82,active,Old woman together population economy same.,3152.8,23198914-42ec-49dc-8087-11e629cb5698,06:26:03,22:26:03,Breakfast,Lunch,Dinner,Sedentary,Hot
19,53.15,active,Cultural plant might middle top.,2338.6,e504a66e-b0b7-4a86-a7e3-f04c26938028,08:53:37,00:53:37,Breakfast,Lunch,Dinner,Moderate,Moderate
37,62.52,sedentary,Degree common appear play into.,2063.1600000000003,fe259303-3dfc-40cd-970e-ac179d6c531d,08:01:56,00:01:56,Breakfast,Lunch,Dinner,Sedentary,Hot
45,48.61,moderate,Site these center rate.,1798.57,37a5a441-99f4-411b-b1a8-1d654ed1cf3b,08:39:22,00:39:22,Breakfast,Lunch,Dinner,Sedentary,Moderate
64,89.97,active,Community your style environment six body water.,3598.8,37e68295-7d7d-4ed2-b131-3ecf17640daf,08:56:27,00:56:27,Breakfast,Lunch,Dinner,Moderate,Hot
24,89.84,sedentary,Line open dark operation friend.,2695.2000000000003,4f3c56e8-dee4-4c33-bea3-b5434bb95386,06:08:49,22:08:49,Breakfast,Lunch,Dinner,Moderate,Moderate
61,76.27,moderate,Decade speech oil improve herself.,2821.99,5e7829ba-c6b0-4939-997a-cfa95654c6c3,07:47:03,23:47:03,Breakfast,Lunch,Dinner,Moderate,Cold
25,59.87,active,Turn success hear girl attorney rule.,2514.54,fc5d1371-f323-415d-8e7a-6538954ba205,06:18:25,22:18:25,Breakfast,Lunch,Dinner,Active,Cold
64,93.9,moderate,Put month water hard decision space store.,3286.5,3202582f-b0de-45ec-a9ad-31258738ebab,08:28:44,00:28:44,Breakfast,Lunch,Dinner,Moderate,Hot
52,63.96,moderate,Yeah PM history dream.,2366.52,35e58ddb-9f62-4b72-8f6f-a950dbde15a0,06:10:48,22:10:48,Breakfast,Lunch,Dinner,Active,Moderate
31,67.87,moderate,Take sell should project best room anything.,2443.32,57f0f4a0-371f-41d1-aa19-0c5d74989094,07:31:01,23:31:01,Breakfast,Lunch,Dinner,Moderate,Moderate
34,71.6,moderate,Identify or responsibility look season.,2720.8,575fc307-8273-4aef-8b51-d7986e277b0a,07:01:10,23:01:10,Breakfast,Lunch,Dinner,Active,Moderate
53,74.52,active,Piece yeah form above economic political.,3204.36,f7dded17-64c3-40f6-9a4a-565b3950476e,07:31:23,23:31:23,Breakfast,Lunch,Dinner,Sedentary,Cold
67,76.44,active,Bad rate attack leave century foot service.,3286.92,6e4a0c59-cffe-4ff8-94c0-d1746f7d0004,08:56:57,00:56:57,Breakfast,Lunch,Dinner,Moderate,Moderate
57,76.84,active,Financial rule create carry trial.,3150.44,30682041-e445-4208-b901-6d0c17d70d3f,08:17:07,00:17:07,Breakfast,Lunch,Dinner,Sedentary,Moderate
21,68.55,sedentary,Write get popular suggest kid population then.,2193.6,130b0be5-a8d3-4018-992c-c8523ebc982d,06:49:24,22:49:24,Breakfast,Lunch,Dinner,Active,Cold
19,76.68,active,Long among bring past own idea main.,3373.92,dfca73c2-7140-4b42-8922-d8d77de6b750,07:51:32,23:51:32,Breakfast,Lunch,Dinner,Moderate,Hot
23,68.11,moderate,Media physical enter young as worry.,2520.07,eea60ea5-cf07-4091-919a-3c8068fffb16,06:08:23,22:08:23,Breakfast,Lunch,Dinner,Sedentary,Hot
59,75.79,active,Her enough night read.,3031.6000000000004,37232ea6-a02e-4d44-9ee3-f645c73757a4,07:56:29,23:56:29,Breakfast,Lunch,Dinner,Active,Cold
21,74.97,moderate,Message citizen seven.,2848.86,af3a96e4-c7ab-4772-a208-a8275ba0990d,06:59:31,22:59:31,Breakfast,Lunch,Dinner,Sedentary,Hot
46,77.63,sedentary,Leave marriage nor Democrat assume.,2484.16,1439cd46-5f81-4fc8-9334-200f72b462e4,06:52:12,22:52:12,Breakfast,Lunch,Dinner,Active,Moderate
35,76.38,moderate,Production matter back prevent weight from.,2978.82,87c037a0-9f2d-4c51-a644-ed354e6dd406,06:05:41,22:05:41,Breakfast,Lunch,Dinner,Active,Moderate
43,65.58,moderate,Assume assume later away either stuff.,2295.3,beddb717-073a-459b-b8f5-18355c03fd39,08:09:14,00:09:14,Breakfast,Lunch,Dinner,Moderate,Moderate
61,74.59,moderate,Herself door cultural result future choose what.,2685.24,def1fdef-c60c-451e-9773-54b123b081a8,06:54:01,22:54:01,Breakfast,Lunch,Dinner,Active,Moderate
51,76.53,sedentary,Into simple song hand low work.,2372.43,fa226a87-9594-48e3-a478-e7cac35d2658,06:59:01,22:59:01,Breakfast,Lunch,Dinner,Active,Cold
27,57.09,active,Choose fund morning about identify wife computer.,2511.96,542e0f3b-3541-452b-942c-b1545672964e,07:43:42,23:43:42,Breakfast,Lunch,Dinner,Moderate,Hot
53,67.26,active,Whole know group life quality.,2690.4,012afb86-df19-4419-b036-afe2582b94e6,07:09:11,23:09:11,Breakfast,Lunch,Dinner,Moderate,Cold
31,76.08,sedentary,Candidate him charge Republican response example.,2510.64,be3fb284-9147-4f00-acb2-b41761c7c41c,07:51:52,23:51:52,Breakfast,Lunch,Dinner,Active,Hot
48,87.09,moderate,Service eye certain call recently party he.,3222.33,76dd46a9-87ce-42ef-9cb6-8cfefd0707f9,08:03:27,00:03:27,Breakfast,Lunch,Dinner,Moderate,Moderate
65,78.25,active,Answer individual now their live level.,3130.0,2a8ad47b-7cc1-4363-a32c-3176d438c563,06:26:47,22:26:47,Breakfast,Lunch,Dinner,Sedentary,Hot
32,87.72,sedentary,Over might direction mission blood improve.,2719.32,9247bd79-cccc-4e74-892d-1b65bbcfea39,08:34:01,00:34:01,Breakfast,Lunch,Dinner,Moderate,Moderate
25,66.02,active,About have against fill pressure without.,2904.88,25486da4-c7e6-47a7-a643-9931d89b8098,06:59:03,22:59:03,Breakfast,Lunch,Dinner,Moderate,Hot
31,72.5,sedentary,Level body different design some me hard.,2465.0,2f7f3f86-3f05-408c-b64d-e766f090027a,07:31:53,23:31:53,Breakfast,Lunch,Dinner,Sedentary,Hot
40,78.06,moderate,Measure husband air cell walk character here.,2888.2200000000003,d2480bf1-31fd-433c-a865-88ec3a3eb7a7,06:23:15,22:23:15,Breakfast,Lunch,Dinner,Active,Cold
57,46.74,active,Wrong according individual name story loss.,2056.56,a138510d-cc4a-4b1e-aee5-8c36bb9faa10,08:48:26,00:48:26,Breakfast,Lunch,Dinner,Sedentary,Cold
38,85.11,sedentary,Always writer new.,2893.74,9a42f2ec-09ab-447a-9866-3c30b5f0c4fa,06:25:09,22:25:09,Breakfast,Lunch,Dinner,Moderate,Cold
33,51.39,active,Wind key business bar.,2055.6,f776e173-453e-4fe5-873e-04e5982b7e71,06:52:01,22:52:01,Breakfast,Lunch,Dinner,Sedentary,Hot
62,79.97,active,System figure describe catch see after wrong.,3438.71,170266f7-0cde-471e-bd7f-4a4b555d3f77,06:14:42,22:14:42,Breakfast,Lunch,Dinner,Moderate,Hot
35,76.87,active,Nearly three station need pass bring stand.,3228.54,dd8e2899-18fc-4df5-bb27-6c60a9829216,07:16:20,23:16:20,Breakfast,Lunch,Dinner,Sedentary,Moderate
64,46.6,active,Whether place traditional last station road.,1864.0,bfa637f3-b149-43f7-810a-afcab7559c7b,07:49:38,23:49:38,Breakfast,Lunch,Dinner,Sedentary,Cold
70,47.11,sedentary,She issue method nothing on adult.,1554.63,bb94e09c-b218-47e2-91b1-3be8a6619631,06:37:20,22:37:20,Breakfast,Lunch,Dinner,Moderate,Hot
41,84.32,moderate,Ready through part whose article.,2951.2,61d51531-e817-43a0-9489-da8f6e1323ad,06:25:13,22:25:13,Breakfast,Lunch,Dinner,Moderate,Hot
43,82.15,sedentary,Finally citizen save contain since herself guess any.,2464.5,0dfd6e26-a1e0-4804-b317-38bd7394943a,06:40:51,22:40:51,Breakfast,Lunch,Dinner,Active,Moderate
42,61.19,sedentary,Expect main stuff.,2080.46,0f63bab8-479b-4add-807e-139f11d8f04a,07:41:43,23:41:43,Breakfast,Lunch,Dinner,Moderate,Hot
62,61.18,sedentary,Wide cause again personal part far.,2018.94,70cc8827-d47d-4cea-a2a6-d4bead5c9063,08:02:37,00:02:37,Breakfast,Lunch,Dinner,Moderate,Hot
58,75.13,moderate,Office trade job beyond stay report support stuff.,2779.81,b7714873-2dc7-464b-8a9f-fa42632ac7dd,06:59:30,22:59:30,Breakfast,Lunch,Dinner,Active,Hot
46,69.87,active,Fine accept case list.,2934.54,17957e0d-a347-4c08-a869-018064e3b4ab,06:28:01,22:28:01,Breakfast,Lunch,Dinner,Moderate,Hot
32,80.54,active,Major send back garden.,3463.2200000000003,2e734d9b-c229-4594-87fe-c3b344bd1428,07:18:56,23:18:56,Breakfast,Lunch,Dinner,Active,Moderate
62,74.8,active,Put son process event what.,3291.2,57cb8b10-5d15-44c5-a6da-0057cf53832c,06:17:45,22:17:45,Breakfast,Lunch,Dinner,Active,Cold
18,85.83,moderate,Fact require notice two performance.,3089.88,0f3bf55d-1f67-4435-aa5d-498e8c950206,06:24:39,22:24:39,Breakfast,Lunch,Dinner,Moderate,Hot
42,79.7,active,Five reveal like cold when make lead.,3188.0,9aaeb40b-4b0c-4be7-9f5e-b77d6020a7a8,06:32:50,22:32:50,Breakfast,Lunch,Dinner,Sedentary,Cold
24,77.21,moderate,Data season your.,3011.19,4e8f7e38-e539-4a3c-93f5-3eac45cf6efb,07:29:24,23:29:24,Breakfast,Lunch,Dinner,Sedentary,Moderate
26,66.48,active,Story adult black.,2858.6400000000003,d10f149c-3301-45dc-9f82-ae1a221e79f1,07:23:45,23:23:45,Breakfast,Lunch,Dinner,Moderate,Moderate
41,65.75,active,Deep particularly Mr someone far.,2630.0,9c897235-6c67-4ce6-9687-d39849dcfbd9,07:01:16,23:01:16,Breakfast,Lunch,Dinner,Sedentary,Hot
18,69.48,sedentary,Discussion the want pay own agreement.,2223.36,18c568ef-79a8-476d-a43c-d9867eb128fb,06:59:48,22:59:48,Breakfast,Lunch,Dinner,Active,Moderate
61,88.41,moderate,Least food animal position.,3182.76,2c3b1a10-1a02-47c5-8d97-34a2ac9a7fd5,06:38:18,22:38:18,Breakfast,Lunch,Dinner,Sedentary,Hot
25,65.94,sedentary,Situation car resource usually dinner tend onto.,2110.08,3ce27fa1-7903-45d0-9d33-afedda738cbd,08:50:40,00:50:40,Breakfast,Lunch,Dinner,Sedentary,Cold
41,72.61,sedentary,Floor thing civil newspaper even time break.,2396.13,1c8652a0-f57c-4fa2-997a-d66888336eca,07:54:49,23:54:49,Breakfast,Lunch,Dinner,Sedentary,Cold
28,47.55,sedentary,Boy practice that wear off think occur.,1426.5,413a280b-34b3-44c4-80e0-91df4b58c44c,06:24:47,22:24:47,Breakfast,Lunch,Dinner,Sedentary,Moderate
68,76.76,moderate,Else exist moment scientist deep current.,2916.88,62f7acdf-5b11-4306-ac36-027f6d5e7dc8,06:45:16,22:45:16,Breakfast,Lunch,Dinner,Sedentary,Cold
34,92.57,moderate,Contain responsibility answer cultural.,3239.95,c740a29e-f640-4612-a7d4-0da20ae35780,07:32:17,23:32:17,Breakfast,Lunch,Dinner,Sedentary,Hot
25,60.66,active,Identify opportunity race shoulder talk keep particular.,2669.04,9a588186-7063-4c2b-b373-020bf91a942a,07:35:51,23:35:51,Breakfast,Lunch,Dinner,Active,Cold
52,101.74,sedentary,Worry change top mean.,3153.94,4b612208-df71-4ee7-836d-c29a8d35aa27,08:24:30,00:24:30,Breakfast,Lunch,Dinner,Sedentary,Hot
52,71.82,active,Congress fish away international throw fight reflect than.,3160.08,769678e3-1aff-4385-89f4-b12ff104fdec,06:54:02,22:54:02,Breakfast,Lunch,Dinner,Sedentary,Hot
50,44.27,sedentary,As Congress near both at between.,1505.18,7a5d46ae-7689-415e-a7e1-74c891a94160,06:54:44,22:54:44,Breakfast,Lunch,Dinner,Sedentary,Cold
22,66.14,moderate,Others my performance car.,2513.32,83036e95-ca4d-47e7-af65-43052a3f92fb,07:09:26,23:09:26,Breakfast,Lunch,Dinner,Active,Cold
59,83.3,moderate,Usually better run skin.,2998.8,6f4df6f5-ff36-44d1-be05-bf66588fd7e5,07:26:28,23:26:28,Breakfast,Lunch,Dinner,Moderate,Cold
56,89.99,moderate,Every too black.,3149.65,ea1c32e5-c16e-4701-b115-3e9f41e85015,06:05:35,22:05:35,Breakfast,Lunch,Dinner,Active,Hot
58,77.18,sedentary,Boy nature within us necessary.,2315.4,4b07e3be-3a5e-4386-aab7-79d9addfa86c,07:26:26,23:26:26,Breakfast,Lunch,Dinner,Moderate,Hot
45,85.68,moderate,Face up do.,3170.1600000000003,435e193e-a32c-4f14-a563-4726de1d2de1,07:10:08,23:10:08,Breakfast,Lunch,Dinner,Moderate,Hot
24,58.22,sedentary,Conference true cover near us hear central.,1746.6,5f28a17b-0ffb-4460-bd09-e562e91cacf5,08:37:59,00:37:59,Breakfast,Lunch,Dinner,Moderate,Moderate
